episode,reward,length,loss,epsilon,success_rate,q_value
1,-206.09023294087837,98,0.0,1.0,0.0,0.0
2,-116.88139541151774,103,0.0,1.0,0.0,0.0
3,-122.59765927499727,66,0.0,1.0,0.0,0.0
4,-213.9788372540698,106,0.0,1.0,0.0,0.0
5,-361.6056086349097,109,0.0,1.0,0.0,0.0
6,-142.66466636790094,140,0.0,1.0,0.0,0.0
7,-153.43776841023316,79,0.0,1.0,0.0,0.0
8,-151.71862810773683,76,0.0,1.0,0.0,0.0
9,-63.91289489584548,88,0.0,1.0,0.0,0.0
10,-136.95741732200224,78,0.0,1.0,0.0,0.0
11,-116.16865027781978,85,55.57212918145316,0.9655206468094844,0.0,0.0
12,-312.0336377158846,135,83.49515390396118,0.8183201210226743,0.0,0.39386510848999023
13,-384.07400767232065,75,92.29476200928123,0.7439808620067382,0.0,-0.15921832621097565
14,-181.6379948761245,83,107.01202895343303,0.6696478204705644,0.0,-0.11762943863868713
15,-80.53881485069411,73,102.61858406358836,0.6118738784280476,0.0,-0.5341707468032837
16,-18.133803331018925,142,112.71087552718262,0.510849320360386,0.0,-0.468436062335968
17,-232.92218954619597,122,109.15144622035143,0.43952667968844233,0.0,-0.5217022895812988
18,-46.35659769545231,191,106.63556621490784,0.3455358541129786,0.0,-0.4275161921977997
19,-168.01819702113062,224,101.21121859995287,0.2609670281126685,0.0,-0.5264117121696472
20,-149.11710337225503,117,98.54390491700734,0.22566020663225933,0.0,-0.44301316142082214
21,-273.57334857261907,195,96.94592758479146,0.17651675623376062,0.0,-0.40468114614486694
22,-64.98132516260196,205,95.43408999124762,0.13669828187021155,0.0,-0.4193961024284363
23,-330.33661264228726,229,94.50725493583386,0.10272559337455119,0.0,-0.6571419835090637
24,-245.35662613915915,199,90.92946690108094,0.07995261925574046,0.0,-0.8108897805213928
25,-315.2167475828876,507,86.90722255548093,0.04230229704853423,0.0,-1.0343660116195679
26,-366.13301836305305,520,82.07523680422528,0.022047758717570132,0.0,-0.8015621304512024
27,-35.384585759187146,445,77.65518405732759,0.012639398604785928,0.0,-0.6917251944541931
28,-111.32150820451346,98,76.85598498549615,0.011150733307840981,0.0,-0.5207217931747437
29,-289.5620065836533,149,75.9278493864378,0.00998645168764533,0.0,-0.5785989761352539
30,-277.3855057450469,198,74.57655559260387,0.00998645168764533,0.0,-0.744149386882782
31,-430.9998559604653,227,74.51854476201534,0.00998645168764533,0.0,-0.7915855050086975
32,-200.40624725232644,267,70.78115004754066,0.00998645168764533,0.0,-0.905274510383606
33,-234.7430110942141,184,67.36585433161258,0.00998645168764533,0.0,-0.9160841107368469
34,-265.8432728113761,494,63.801070787072184,0.00998645168764533,0.0,-0.7271052002906799
35,-96.9698844559245,329,60.93021753191948,0.00998645168764533,0.0,-0.3459128439426422
36,-66.2840516703011,445,57.5375000411272,0.00998645168764533,0.0,-0.09808139503002167
